Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoQALogin,Chrome 134.0.6998.37,,,13-03-2025 11:17:05,13-03-2025 11:17:59,54.410s,PASSED
,,,,,,,
Test Cases/Web Demo QA Login,Chrome 134.0.6998.37,,,13-03-2025 11:17:05,13-03-2025 11:17:59,54.150s,PASSED
"openBrowser("""")",Chrome 134.0.6998.37,,,13-03-2025 11:17:05,13-03-2025 11:17:07,1.918s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.37,,,13-03-2025 11:17:07,13-03-2025 11:17:12,4.927s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/svg""))",Chrome 134.0.6998.37,,,13-03-2025 11:17:12,13-03-2025 11:17:13,0.964s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Forms""))",Chrome 134.0.6998.37,,,13-03-2025 11:17:13,13-03-2025 11:17:15,1.467s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Forms""))",Chrome 134.0.6998.37,,,13-03-2025 11:17:15,13-03-2025 11:17:15,0.511s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Practice Form""))",Chrome 134.0.6998.37,,,13-03-2025 11:17:15,13-03-2025 11:17:20,4.870s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Name_firstName""), ""Yusuf"")",Chrome 134.0.6998.37,,,13-03-2025 11:17:20,13-03-2025 11:17:21,0.822s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Name_lastName""), ""Rangkuti"")",Chrome 134.0.6998.37,,,13-03-2025 11:17:21,13-03-2025 11:17:21,0.557s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""claysystemhack@gmail.com"")",Chrome 134.0.6998.37,,,13-03-2025 11:17:21,13-03-2025 11:17:22,0.551s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/label_Male""))",Chrome 134.0.6998.37,,,13-03-2025 11:17:22,13-03-2025 11:17:22,0.300s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_(10 Digits)_userNumber""), ""0896784788"")",Chrome 134.0.6998.37,,,13-03-2025 11:17:22,13-03-2025 11:17:23,0.555s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Date of Birth_dateOfBirthInput""), ""13 Mar 2025"")",Chrome 134.0.6998.37,,,13-03-2025 11:17:23,13-03-2025 11:17:24,0.877s,PASSED
