Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DEMO QA FORM_LOGIN,Chrome 134.0.6998.37,,,13-03-2025 11:36:12,13-03-2025 11:37:38,1m - 25.555s,PASSED
,,,,,,,
Test Cases/Web Demo QA Login,Chrome 134.0.6998.37,,,13-03-2025 11:36:12,13-03-2025 11:36:39,26.377s,PASSED
"openBrowser("""")",Chrome 134.0.6998.37,,,13-03-2025 11:36:13,13-03-2025 11:36:15,1.946s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.37,,,13-03-2025 11:36:15,13-03-2025 11:36:19,4.463s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/svg""))",Chrome 134.0.6998.37,,,13-03-2025 11:36:19,13-03-2025 11:36:20,0.949s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Forms""))",Chrome 134.0.6998.37,,,13-03-2025 11:36:20,13-03-2025 11:36:22,2.030s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Forms""))",Chrome 134.0.6998.37,,,13-03-2025 11:36:22,13-03-2025 11:36:23,1.176s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Practice Form""))",Chrome 134.0.6998.37,,,13-03-2025 11:36:23,13-03-2025 11:36:24,0.541s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Name_firstName""), ""Yusuf"")",Chrome 134.0.6998.37,,,13-03-2025 11:36:24,13-03-2025 11:36:25,0.845s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Name_lastName""), ""Rangkuti"")",Chrome 134.0.6998.37,,,13-03-2025 11:36:25,13-03-2025 11:36:25,0.552s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""claysystemhack@gmail.com"")",Chrome 134.0.6998.37,,,13-03-2025 11:36:25,13-03-2025 11:36:26,0.543s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/label_Male""))",Chrome 134.0.6998.37,,,13-03-2025 11:36:26,13-03-2025 11:36:26,0.350s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_(10 Digits)_userNumber""), ""0896784788"")",Chrome 134.0.6998.37,,,13-03-2025 11:36:26,13-03-2025 11:36:27,0.556s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Date of Birth_dateOfBirthInput""), ""13 Mar 2025"")",Chrome 134.0.6998.37,,,13-03-2025 11:36:27,13-03-2025 11:36:27,0.851s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/input_Date of Birth_dateOfBirthInput""))",Chrome 134.0.6998.37,,,13-03-2025 11:36:27,13-03-2025 11:36:28,0.504s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_DEMOQA/select_JanuaryFebruaryMarchAprilMayJuneJuly_566629""), ""7"", true)",Chrome 134.0.6998.37,,,13-03-2025 11:36:28,13-03-2025 11:36:29,1.062s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_DEMOQA/select_190019011902190319041905190619071908_246ee1""), ""2000"", true)",Chrome 134.0.6998.37,,,13-03-2025 11:36:29,13-03-2025 11:36:33,3.936s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_31""))",Chrome 134.0.6998.37,,,13-03-2025 11:36:33,13-03-2025 11:36:33,0.301s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Subjects_subjects-auto-complete__value-_d244cf""))",Chrome 134.0.6998.37,,,13-03-2025 11:36:33,13-03-2025 11:36:34,0.292s,PASSED
